N;Тема ;формула ;Ответ
1;Оценка создания;"2""4";16
2;Контрольные листы процедур;"2""5";32
3;Сигналы тревоги монитора;"2""3";8
4;Проверка перед введением лекарства;"2""6";64
5;Двоичный код симптомов;"1 — Боль (есть) ✓
0 — Тошнота (нет) ✗
1 — Головокружение (есть) ✓
0 — Слабость (нет) ✗";У пациента есть боль и головокружение.
6; Инфузомат: режимы работы;"2""4";16
7;Двоичная запись температуры;"37°C: 37 = 32 + 4 + 1 = 2⁵ + 2² + 2⁰ 37₁₀ = 100101₂
38°C: 38 = 32 + 4 + 2 = 2⁵ + 2² + 2¹ 38₁₀ = 100110₂
39°C: 39 = 32 + 4 + 2 + 1 = 2⁵ + 2² + 2¹ + 2⁰ 39₁₀ = 100111₂";"100101₂
100111₂                 100110₂"
8;Перевод двоичного кода пациента;10110₂ = 1×2⁴ + 0×2³ + 1×2² + 1×2¹ + 0×2⁰ = 16 + 0 + 4 + 2 + 0 = 22;22
9;Комбинации препаратов;32 - 1 = 31;31
10; Факторы риска пролежней;20 + 15 + 6 + 1 = 42;42
11;Двоичный журнал дежурств;"2⁸ = 256

";256
12;Тест-полоски: комбинации результатов;2⁴ = 16;16(1)
13; Настройки кислородного концентратора;"3 × 2 × 2 = 12 режимов

";12
14;Двоичный код экстренной ситуации;11010;Пациент без сознания, с дыханием, пульсом и кровотечением, без травмы
15;Комбинации доступов для инфузии;16 - 1 = 15;15
16;Двоичное представление дозы;2⁶ = 64;64
17;Проверка оборудования перед сменой;1+7=8;8
18;Генетический скрининг;"C
8
3
​
=
3×2×1
8×7×6
​
=8×7=56";56
19;Двоичный шифр пациента в базе;"2
10
=1024";1024
20; Комбинации симптомов для диагноза;10+5+1=16;16
21;Двоичное дерево решений ;2⁵ ;32
22; Кодирование группы крови и резуса;4 × 2 = 8 комбинаций.;"000 (00=A, 0=-) = A-
001 (00=A, 1=+) = A+
010 (01=B, 0=-) = B-
011 (01=B, 1=+) = B+
100 (10=AB, 0=-) = AB-
101 (10=AB, 1=+) = AB+
110 (11=O, 0=-) = O-
111 (11=O, 1=+) = O+

"
23;Мониторинг жизненных показателей;2 = 256 вариантов.;1
24; Двоичная проверка совместимости препаратов;"
64 - 1 - 6 = 57 комбинаций.";57
25;Система оповещения: двоичный код приоритета;"2""4";16(1010)
